Date,Open,High,Low,Close,Volume
"Jun 01, 2021",504.01,536.13,482.14,482.14,528.21
"May 01, 2021",512.65,518.95,478.54,478.54,502.81
"Apr 01, 2021",529.93,563.56,499.00,499.00,513.47
"Mar 01, 2021",545.57,556.99,492.85,492.85,521.66
"Feb 01, 2021",536.79,566.65,518.28,518.28,538.85
"Jan 01, 2021",539.00,593.29,485.67,485.67,532.39
"Dec 01, 2020",492.34,545.50,491.29,491.29,540.73
"Nov 01, 2020",478.87,518.73,463.41,463.41,490.70
"Oct 01, 2020",506.03,572.49,472.21,472.21,475.74
"Sep 01, 2020",532.60,557.39,458.60,458.60,500.03
"Aug 01, 2020",490.86,549.04,466.55,466.55,529.56
"Jul 01, 2020",454.00,575.37,454.00,454.00,488.88
"Jun 01, 2020",418.83,474.01,404.25,404.25,455.04
"May 01, 2020",415.10,458.97,397.86,397.86,419.73
"Apr 01, 2020",376.05,449.52,357.51,357.51,419.85
"Mar 01, 2020",373.11,393.52,290.25,290.25,375.50
"Feb 01, 2020",347.24,392.95,346.28,346.28,369.03
"Jan 01, 2020",326.10,359.85,321.20,321.20,345.09
"Dec 01, 2019",314.39,338.00,292.02,292.02,323.57
"Nov 01, 2019",288.70,316.82,281.14,281.14,314.66
"Oct 01, 2019",267.35,308.75,257.01,257.01,287.41
"Sep 01, 2019",290.82,301.55,252.28,252.28,267.62
"Aug 01, 2019",324.25,328.58,287.20,287.20,293.75
"Jul 01, 2019",373.50,384.76,305.81,305.81,322.99
"Jun 01, 2019",343.56,375.00,332.65,332.65,367.32
"May 01, 2019",374.00,385.99,341.39,341.39,343.28
"Apr 01, 2019",359.00,384.80,342.27,342.27,370.54
"Mar 01, 2019",362.26,379.00,342.47,342.47,356.56
"Feb 01, 2019",337.18,371.49,336.50,336.50,358.10
"Jan 01, 2019",259.28,358.85,256.58,256.58,339.50
"Dec 01, 2018",293.19,298.72,231.23,231.23,267.66
"Nov 01, 2018",304.59,332.05,250.00,250.00,286.13
"Oct 01, 2018",375.85,386.80,271.21,271.21,301.78
"Sep 01, 2018",366.47,383.20,335.83,335.83,374.13
"Aug 01, 2018",335.87,376.81,310.93,310.93,367.68
"Jul 01, 2018",385.45,419.77,328.00,328.00,337.45
"Jun 01, 2018",353.88,423.21,352.82,352.82,391.43
"May 01, 2018",310.36,356.10,305.73,305.73,351.60
"Apr 01, 2018",291.94,338.82,271.22,271.22,312.46
"Mar 01, 2018",292.75,333.98,275.90,275.90,295.35
"Feb 01, 2018",266.41,297.36,236.11,236.11,291.38
"Jan 01, 2018",196.10,286.81,195.42,195.42,270.30
"Dec 01, 2017",186.99,194.49,178.38,178.38,191.96
"Nov 01, 2017",197.24,202.48,184.32,184.32,187.58
"Oct 01, 2017",182.11,204.38,176.58,176.58,196.43
"Sep 01, 2017",175.55,189.95,172.44,172.44,181.35
"Aug 01, 2017",182.49,184.62,164.23,164.23,174.71
"Jul 01, 2017",149.80,191.50,144.25,144.25,181.66
"Jun 01, 2017",163.52,166.87,147.30,147.30,149.41
"May 01, 2017",151.91,164.75,151.61,151.61,163.07
"Apr 01, 2017",146.70,153.52,138.66,138.66,152.20
"Mar 01, 2017",142.84,148.29,138.26,138.26,147.81
"Feb 01, 2017",141.20,145.95,139.05,139.05,142.13
"Jan 01, 2017",124.96,143.46,124.31,124.31,140.71
"Dec 01, 2016",117.52,129.07,113.95,113.95,123.80
"Nov 01, 2016",124.98,125.83,110.68,110.68,117.00
"Oct 01, 2016",98.00,129.29,97.63,97.63,124.87
"Sep 01, 2016",97.81,100.35,93.26,93.26,98.55
"Aug 01, 2016",91.23,98.85,90.50,90.50,97.45
"Jul 01, 2016",95.00,101.27,84.50,84.50,91.25
"Jun 01, 2016",101.50,102.15,84.81,84.81,91.48
"May 01, 2016",90.41,104.00,85.74,85.74,102.57
"Apr 01, 2016",102.93,111.85,88.21,88.21,90.03
"Mar 01, 2016",94.58,104.91,93.61,93.61,102.23
"Feb 01, 2016",91.79,97.48,79.95,79.95,93.41
"Jan 01, 2016",109.00,122.18,90.11,90.11,91.84
"Dec 01, 2015",124.47,133.27,113.85,113.85,114.38
"Nov 01, 2015",109.20,126.60,101.86,101.86,123.33
"Oct 01, 2015",102.91,115.83,96.26,96.26,108.38
"Sep 01, 2015",109.35,111.24,93.55,93.55,103.26
